t_index	term	df
1	aan	1
2	aaron	3
3	ab	1
4	aback	1
5	abahd	1
6	abandon	39
7	abat	1
8	abc	101
9	abcnew	3
10	abdallah	2
11	abdel	3
12	abdomin	2
13	abduct	4
14	abdul	16
15	abdullah	49
16	abdurahman	1
17	aberr	1
18	abhad	1
19	abhiyan	1
20	abhorr	2
21	abid	9
22	abidin	4
23	abidjan	87
24	abijan	4
25	abil	36
26	abl	135
27	ablaz	3
28	abnorm	1
29	aboard	144
30	abobo	3
31	abolish	4
32	abomin	1
33	abort	15
34	abou	1
35	abound	5
36	about	1
37	abovo	2
38	abraham	13
39	abreast	1
40	abrego	1
41	abroad	58
42	abrog	2
43	abrupt	1
44	abruptli	4
45	abscam	1
46	absenc	6
47	absent	4
48	absente	7
49	absentia	3
50	absolut	54
51	absorb	10
52	abstain	1
53	abstent	1
54	absurd	2
55	abu	13
56	abund	2
57	abus	32
58	abuzaakouk	1
59	abyan	12
60	abyssinian	1
61	academ	6
62	academi	4
63	academia	1
64	acced	1
65	acceler	4
66	accent	4
67	accentu	2
68	accept	156
69	access	54
70	accid	48
71	accident	3
72	accommod	11
73	accompani	36
74	accomplic	5
75	accomplish	12
76	accord	189
77	accordingli	1
78	accordion	1
79	account	190
80	accredit	1
81	accumul	2
82	accur	15
83	accuraci	1
84	accus	146
85	accustom	2
86	ace	34
87	acerb	2
88	achiev	33
89	acid	2
90	acknowledg	61
91	acolyt	1
92	acosta	1
93	acquaint	2
94	acquiesc	1
95	acquir	6
96	acquisit	1
97	acquit	8
98	acquitt	3
99	acr	1
100	acrimoni	2
101	acrobat	5
102	acronym	1
103	across	159
104	act	203
105	action	120
106	activ	112
107	activist	20
108	actor	4
109	actress	2
110	actual	93
111	ad	151
112	adam	9
113	adapt	5
114	add	20
115	adden	1
116	addit	80
117	address	74
118	adem	1
119	aden	482
120	adequ	7
121	adher	4
122	adiksa	2
123	adjac	4
124	adjam	2
125	adjoin	5
126	adjourn	5
127	adjust	7
128	adlai	1
129	adm	70
130	admen	3
131	administ	10
132	administr	179
133	admir	47
134	admiralti	1
135	admiringli	1
136	admiss	2
137	admit	42
138	ado	4
139	adob	1
140	adolesc	2
141	adopt	17
142	adorn	1
143	adoubi	3
144	adra	2
145	adrain	1
146	adrenalin	1
147	adriat	1
148	adrift	8
149	adult	10
150	advanc	82
151	advani	1
152	advantag	21
153	adventist	1
154	adventur	2
155	advers	2
156	adversari	3
157	advertis	12
158	advic	6
159	advis	101
160	advisor	10
161	advisori	2
162	advoc	17
163	advocaci	2
164	aegi	7
165	aerial	3
166	aeroflot	2
167	af	1
168	affabl	1
169	affair	55
170	affect	33
171	affection	1
172	affili	6
173	affirm	6
174	afflict	1
175	afford	7
176	affront	2
177	afghan	35
178	afghanistan	98
179	afi	2
180	afibia	4
181	afield	1
182	afir	2
183	afl	2
184	afloat	18
185	afoul	4
186	afraid	37
187	afredo	1
188	africa	106
189	african	74
190	aft	4
191	aftehock	1
192	aftermath	17
193	afternoon	80
194	aftershock	67
195	afterward	13
196	afundament	1
197	agarw	3
198	agassi	204
199	agbayani	2
200	age	46
201	agenc	156
202	agenda	14
203	agent	168
204	ager	10
205	agglomer	1
206	aggrav	31
207	aggress	25
208	agil	1
209	agit	1
210	ago	257
211	agon	7
212	agoni	3
213	agonizingli	1
214	agre	104
215	agreement	78
216	agricultur	19
217	agustin	1
218	ah	1
219	aha	1
220	ahead	63
221	ahemdabad	1
222	ahm	16
223	ahmad	1
224	ahmadabad	3
225	ahmar	2
226	ahmedabad	47
227	ahold	1
228	ahren	1
229	ai	1
230	aid	229
231	aida	2
232	ail	5
233	ailment	1
234	aim	38
235	ainst	1
236	air	266
237	aircraft	41
238	airdrop	2
239	airfield	1
240	airforc	1
241	airlift	4
242	airlin	8
243	airlock	1
244	airman	1
245	airmen	11
246	airplan	9
247	airport	61
248	airstrik	6
249	airtim	3
250	airwav	1
251	airway	3
252	aisl	3
253	aj	1
254	ajax	1
255	ajnar	5
256	ajw	1
257	akaka	2
258	akan	4
259	akin	3
260	akishio	1
261	akouedo	1
262	al	229
263	ala	11
264	alabama	6
265	alain	1
266	alami	2
267	alamoudi	2
268	alan	7
269	alarm	22
270	alasan	1
271	alaska	3
272	alaskan	1
273	alassan	33
274	albani	1
275	albania	1
276	albanian	54
277	albeit	4
278	albert	1
279	alberto	78
280	albright	76
281	album	1
282	alce	3
283	alcohol	5
284	alehandr	1
285	alejandro	14
286	aleksa	1
287	aleksandar	6
288	aler	1
289	alert	102
290	alessio	4
291	alex	13
292	alexa	4
293	alexand	13
294	alexandria	2
295	alexei	1
296	alexeyev	3
297	alexsand	1
298	alfonso	1
299	alfr	2
300	alfredo	1
301	algeria	4
302	algerian	6
303	ali	50
304	alia	2
305	alibi	1
306	alien	3
307	alight	1
308	align	5
309	alija	1
310	alik	9
311	alisan	2
312	alisha	1
313	aliv	144
314	allafrica	2
315	allah	2
316	allahabad	2
317	allahbad	1
318	allan	1
319	alleg	91
320	allegedli	26
321	allegi	1
322	allen	53
323	allentown	1
324	alley	3
