35
t_index	tf-idf
117	0.196179
937	0.162865
1371	0.187171
1411	0.128987
1463	0.166254
1482	0.361689
1956	0.096745
3884	0.118105
4335	0.154757
4427	0.115715
5204	0.257208
5220	0.091342
5695	0.164201
6391	0.151874
6916	0.159005
7168	0.082689
7254	0.069608
7363	0.302831
7476	0.076316
7550	0.247611
7809	0.172047
7944	0.056713
8244	0.083108
8316	0.142366
8404	0.163530
9033	0.211680
9329	0.028166
9897	0.210357
10310	0.043192
10420	0.164201
11058	0.086110
11168	0.254682
11487	0.074069
11945	0.113730
12165	0.085023
